name,bbl,shape_area,construction_year,ground_elevation,mappluto_bbl,objectid,feature_code,shape_length,height_roof,last_status_type,bin,last_edited_date,geom_source,doitt_id,address,bldgclass,numfloors,unitsres,yearbuilt,latitude,longitude,roof_area_m2,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,canopy_area_m2,zoning_dist,commercial_overlay,special_purpose,limited_height,in_mih,has_edesignation,fema_firm_zone,in_historic_district
,1002830072,179.4140625,1900,33,1002830072,40252,2100,55.584620815361589,69.14,Constructed,1003598,2017-08-22 18:32:46+00:00,Photogrammetric,480851,162 EAST BROADWAY,C7,6.0,10,1900,40.7142001,-73.9904012,102.96955901945061,17.504825033306606,21670.97339123358,59.37252983899611,64.4177561225683,87.52412516653303,C4-4A,C1-5,Special Transit Land Use District,,False,False,,True
,1002820054,229.921875,1900,36,1002820054,956313,2100,64.984474772819325,69.3,Constructed,1003546,2017-08-22 17:27:22+00:00,Photogrammetric,20373,94 EAST BROADWAY,C7,6.0,10,1900,40.713967,-73.9935828,131.9613384491672,22.433427536358423,27772.583290011728,76.08926928770336,82.555013333799,112.1671376817921,C4-4A,C1-5,Special Transit Land Use District,,False,False,,True
,1002930028,265.0859375,1900,39,1002930028,766204,2100,84.114628097081464,74.49,Constructed,1003793,2017-08-22 18:13:57+00:00,Photogrammetric,422323,88 DIVISION STREET,C7,6.0,15,1900,40.7144638,-73.9937487,152.13892989073327,25.863618081424654,32019.15918480372,87.7237237939828,95.17811453964272,129.31809040712326,R7A,C1-5,,,False,False,,True
,1002920029,306.03515625,1900,41,1002920029,111547,2100,78.817185816096668,58.72,Constructed,1003774,2017-08-22 18:59:50+00:00,Photogrammetric,489438,5 ELDRIDGE STREET,C7,6.0,9,1900,40.7145846,-73.9940336,175.64839381775582,29.86022694901849,36966.96096288489,101.27934510379423,109.88563517238805,149.30113474509244,R7A,C1-5,,,False,False,,True
,1002920028,222.6171875,1900,42,1002920028,638796,2100,63.997501685316138,57.5,Constructed,1003773,2017-08-22 18:10:47+00:00,Photogrammetric,149546,7 ELDRIDGE STREET,C7,6.0,8,1900,40.7146505,-73.9940012,127.76536560371987,21.72011215263238,26889.49884495889,73.66985984920244,79.93001272168716,108.6005607631619,C6-1,C1-5,,,False,False,,True
,1002920027,216.33984375,1910,42,1002920027,993962,2100,63.420917133398888,58.76,Constructed,1003772,2017-08-22 17:26:53+00:00,Photogrammetric,196771,9 ELDRIDGE STREET,C7,6.0,18,1910,40.7147136,-73.9939687,124.16220696012321,21.107575183220945,26131.17807682753,71.59226870363707,77.67587667425308,105.53787591610472,C4-4A,C1-5,,,False,False,,True
,1002920026,321.2421875,1900,42,1002920026,319572,2100,83.995632800768675,61.1,Constructed,1003771,2017-08-22 18:55:13+00:00,Photogrammetric,92002,11 ELDRIDGE STREET,C7,6.0,18,1900,40.7147904,-73.9939759,184.37391329185047,31.343565259614582,38803.33379140285,106.31050353809,115.34432015538167,156.7178262980729,C6-1G,C2-5,,,False,False,,True
,1002920025,388.44921875,1900,42,1002920025,1063942,2100,102.09559912967798,62,Constructed,1003770,2017-08-22 17:57:24+00:00,Other (Manual),609605,13 ELDRIDGE STREET,C7,6.0,12,1900,40.7148563,-73.9939398,222.9447380627576,37.90060547066879,46920.94957268797,128.55054677448757,139.47422813206114,189.50302735334395,C4-4A,C1-5,,,False,False,,True
,1002930020,273.671875,1910,42,1002930020,111489,2100,98.731940769617765,61.27,Constructed,1003792,2017-08-22 19:22:34+00:00,Photogrammetric,638772,3 ALLEN STREET,C7,6.0,10,1910,40.7146834,-73.9931354,157.07621357716428,26.70295630811793,33058.25990945,90.57057509438356,98.26687921387398,133.51478154058964,C4-4A,C1-5,,,False,False,,True
,1002930015,291.53125,1910,42,1002930015,882504,2100,76.863414375330336,67.8,Constructed,1003788,2017-08-22 19:27:05+00:00,Photogrammetric,1203940,70 CANAL STREET,C7,6.0,13,1910,40.7150182,-73.9928865,167.31129622068687,28.44292035751677,35212.33540260576,96.47215178796098,104.6699469156617,142.21460178758383,C4-4A,C1-5,,,False,False,,True
,1002940022,301.38671875,1900,40,1002940022,634512,2100,85.389373992991722,67.34,Constructed,1003799,2017-08-22 18:45:54+00:00,Photogrammetric,307464,50 CANAL STREET,C7,6.0,20,1900,40.7146915,-73.9918188,172.96744632006565,29.40446587441116,36402.72875252101,99.73350343156442,108.20843441783308,147.0223293720558,C4-4A,C1-5,,,False,False,,True
,1002990030,312.1171875,1900,42,1002990030,727053,2100,91.718472760819651,61.7,Constructed,1003872,2017-08-22 19:33:04+00:00,Photogrammetric,338429,19 ORCHARD STREET,C1,6.0,10,1900,40.7153448,-73.9919341,179.1228835067852,30.450890196153484,37698.20206283801,103.28274537763839,112.0592759218448,152.25445098076742,C4-4A,C1-5,,,False,False,,True
,1002970022,271.53515625,1900,35,1002970022,950083,2100,88.813998638195912,62.58,Constructed,1083703,2017-08-22 18:24:34+00:00,Photogrammetric,25259,13 ESSEX STREET,C7,6.0,44,1900,40.7151799,-73.9902604,313.8446105953891,53.353583801216146,66051.73674590558,180.96366231754953,196.34118838847542,266.7679190060807,C4-4A,C1-5,,,False,False,,True
,1002970022,271.53515625,1900,35,1002970022,950083,2100,88.813998638195912,62.58,Constructed,1083703,2017-08-22 18:24:34+00:00,Photogrammetric,25259,13 ESSEX STREET,C7,6.0,44,1900,40.7151799,-73.9902604,313.8446105953891,53.353583801216146,66051.73674590558,180.96366231754953,196.34118838847542,266.7679190060807,C4-4A,C1-5,,,False,False,,True
,1002970022,275.30859375,1900,35,1002970022,706175,2100,89.438415585331455,62.94,Constructed,1083702,2017-08-22 17:40:54+00:00,Photogrammetric,559583,13 ESSEX STREET,C7,6.0,44,1900,40.7151799,-73.9902604,313.8446105953891,53.353583801216146,66051.73674590558,180.96366231754953,196.34118838847542,266.7679190060807,C4-4A,C1-5,,,False,False,,True
,1002970022,275.30859375,1900,35,1002970022,706175,2100,89.438415585331455,62.94,Constructed,1083702,2017-08-22 17:40:54+00:00,Photogrammetric,559583,13 ESSEX STREET,C7,6.0,44,1900,40.7151799,-73.9902604,313.8446105953891,53.353583801216146,66051.73674590558,180.96366231754953,196.34118838847542,266.7679190060807,C4-4A,C1-5,,,False,False,,True
,1002990027,365.6171875,1900,41,1002990027,952598,2100,91.416996439161011,64.75,Constructed,1003869,2017-08-22 18:07:22+00:00,Photogrammetric,590231,25 ORCHARD STREET,C8,6.0,14,1900,40.7154765,-73.991862,209.83615345489275,35.67214608733177,44162.11685611673,120.99210097566227,131.2734976013809,178.36073043665883,C4-4A,C1-5,,,False,False,,True
,1002990022,363.8515625,1910,39,1002990022,926620,2100,94.945389036341624,66.75,Constructed,1003865,2017-08-22 19:03:41+00:00,Photogrammetric,122478,35 ORCHARD STREET,C7,6.0,15,1910,40.7158004,-73.9916924,208.8263812029737,35.500484804505525,43949.60018797784,120.40986352870641,130.64178408058032,177.50242402252763,C4-4A,C2-5,,,False,False,,True
,1002980018,335.55078125,1930,36,1002980018,68070,2100,85.781759574324752,62.14,Constructed,1003852,2017-08-22 17:51:31+00:00,Photogrammetric,162238,56 HESTER STREET,C7,6.0,15,1930,40.7156768,-73.990787,296.0412719652276,50.327016234088696,62304.846097801805,170.69820848712823,185.2034197414464,251.63508117044347,C4-4A,C2-5,,,False,False,,True
,1002980018,335.55078125,1930,36,1002980018,68070,2100,85.781759574324752,62.14,Constructed,1003852,2017-08-22 17:51:31+00:00,Photogrammetric,162238,56 HESTER STREET,C7,6.0,15,1930,40.7156768,-73.990787,296.0412719652276,50.327016234088696,62304.846097801805,170.69820848712823,185.2034197414464,251.63508117044347,C4-4A,C2-5,,,False,False,,True
,1002980018,180.26953125,1930,36,1002980018,69039,2100,64.6031044135624,63.4,Constructed,1084870,2017-08-22 19:01:06+00:00,Photogrammetric,811917,56 HESTER STREET,C7,6.0,15,1930,40.7156768,-73.990787,296.0412719652276,50.327016234088696,62304.846097801805,170.69820848712823,185.2034197414464,251.63508117044347,C4-4A,C1-5,,,False,False,,True
