bbl,address,bldgclass,numfloors,unitsres,yearbuilt,latitude,longitude
1005390030,215 THOMPSON STREET,C7,6.0000000,22,1900,40.7290908,-73.9994299
1005400004,110 MAC DOUGAL STREET,C7,6.0000000,22,1900,40.7295025,-74.0005953
1005430047,140 WEST 4 STREET,C7,6.0000000,24,1900,40.7311768,-74.0004330
1005400043,185 BLEECKER STREET,C7,6.0000000,25,1904,40.7292445,-74.0009164
1005260024,190 BLEECKER STREET,C7,6.0000000,25,1900,40.7290853,-74.0015298
1005260022,194 BLEECKER STREET,C6,6.0000000,22,1901,40.7291621,-74.0016813
1005260064,170 BLEECKER STREET,C7,6.0000000,23,1900,40.7286901,-74.0007288
1005260023,192 BLEECKER STREET,C6,6.0000000,22,1901,40.7291237,-74.0016056
1005400006,114 MAC DOUGAL STREET,C7,6.0000000,22,1900,40.7296178,-74.0004943
1005420044,111 MAC DOUGAL STREET,C7,6.0000000,25,1905,40.7299993,-74.0007541
1004730130,37B CROSBY STREET,C6,6.0000000,6,1900,40.7208291,-73.9990801
1004820025,222 LAFAYETTE STREET,C7,6.0000000,10,1900,40.7221109,-73.9976875
1004820024,224 LAFAYETTE STREET,C7,6.0000000,9,1900,40.7221328,-73.9975612
1006100069,19 CHRISTOPHER STREET,C7,6.0000000,22,1900,40.7341055,-74.0007577
1008720051,134 EAST 17 STREET,C7,6.0000000,23,1910,40.7353508,-73.9866779
1008730025,129 EAST 17 STREET,C4,6.0000000,6,1900,40.7358147,-73.9866886
1008720052,132 EAST 17 STREET,C7,6.0000000,22,1910,40.7353838,-73.9867573
1004000038,60 AVENUE B,C7,6.0000000,22,1900,40.7235945,-73.9826107
1004360036,121 ST MARKS PLACE,C7,6.0000000,30,1907,40.7269844,-73.9833675
1004350030,125 AVENUE A,C7,6.0000000,10,1920,40.7266605,-73.9833893
1003990043,189 EAST 3 STREET,C7,6.0000000,16,1900,40.7231417,-73.9835128
1003990024,230 EAST 4 STREET,C1,6.0000000,18,1900,40.7233668,-73.9832999
1003990026,234 EAST 4 STREET,C7,6.0000000,28,1900,40.7233009,-73.9831484
1003990030,50 AVENUE B,C7,6.0000000,26,1900,40.7232404,-73.9828237
1003990033,46 AVENUE B,C7,6.0000000,21,1900,40.7231197,-73.9829139
1003990041,191 EAST 3 STREET,C7,6.0000000,12,1900,40.7230923,-73.9833974
1003990047,181 EAST 3 STREET,C7,6.0000000,32,1900,40.7232927,-73.9838663
1004000024,536 EAST 5 STREET,C7,6.0000000,22,1929,40.7240145,-73.9829462
1004000026,540 EAST 5 STREET,C7,6.0000000,22,1929,40.7239623,-73.9828199
1004000047,223 EAST 4 STREET,C6,6.0000000,19,1937,40.7237867,-73.9831555
1004010056,515 EAST 5 STREET,C4,6.0000000,24,1920,40.7247090,-73.9834727
1003990038,38 AVENUE B,C7,6.0000000,10,1900,40.7228562,-73.9831052
1004000039,235 EAST 4 STREET,C7,6.0000000,30,1920,40.7235039,-73.9826793
1004020039,102 AVENUE B,C6,6.0000000,5,1900,40.7248651,-73.9816219
1004000045,225 EAST 4 STREET,C6,6.0000000,21,1937,40.7237482,-73.9830581
1004000050,213 EAST 4 STREET,C7,6.0000000,28,1900,40.7238993,-73.9834188
1004000061,193 EAST 4 STREET,C7,6.0000000,11,1900,40.7242397,-73.9842232
1004010047,533 EAST 5 STREET,C4,6.0000000,24,1900,40.7244097,-73.9827621
1004010042,543 EAST 5 STREET,C7,6.0000000,22,1900,40.7242559,-73.9823941
1004360009,406 EAST 9 STREET,C7,6.0000000,22,1929,40.7278025,-73.9844533
1004360042,109 ST MARKS PLACE,C7,6.0000000,25,1920,40.7272205,-73.9838798
1004360034,131 AVENUE A,C7,6.0000000,30,1920,40.7269075,-73.9831835
1004350019,110 ST MARKS PLACE,C7,6.0000000,22,1920,40.7269351,-73.9843453
1004350025,122 ST MARKS PLACE,C7,6.0000000,22,1920,40.7267731,-73.9839304
1004350027,126 ST MARKS PLACE,C7,6.0000000,22,1920,40.7267209,-73.9838078
1004360037,119 ST MARKS PLACE,C7,6.0000000,22,1910,40.7270640,-73.9835082
1004360039,115 ST MARKS PLACE,C7,6.0000000,22,1900,40.7271134,-73.9836237
1004020032,178 EAST 7 STREET,C7,6.0000000,16,1900,40.7250381,-73.9816868
1004010030,540 EAST 6 STREET,C4,6.0000000,13,1920,40.7244892,-73.9822245
1002790053,24 CATHERINE STREET,C7,6.0000000,15,1900,40.7128857,-73.9973920
1002790022,45 ST JAMES PLACE,C7,6.0000000,20,1900,40.7125289,-73.9985752
1002790002,31 OLIVER STREET,C7,6.0000000,25,1920,40.7121035,-73.9980630
1002790029,39 MADISON STREET,C7,6.0000000,20,1900,40.7120431,-73.9984778
1001640001,30 MULBERRY STREET,C7,6.0000000,15,1915,40.7145381,-73.9993796
1001640032,33 MOTT STREET,C7,6.0000000,38,1915,40.7149937,-73.9991126
1001640048,15 MOTT STREET,C7,6.0000000,13,1915,40.7141895,-73.9990044
1002000033,78 BAYARD STREET,C7,6.0000000,30,1910,40.7158473,-73.9986942
1001640013,54 MULBERRY STREET,C7,6.0000000,30,1915,40.7153148,-73.9993254
1001640066,28 MULBERRY STREET,C7,6.0000000,10,1910,40.7143789,-73.9994265
1001620018,34 MOTT STREET,C7,6.0000000,20,1920,40.7148537,-73.9986761
1001630028,53 BAYARD STREET,C7,6.0000000,16,1915,40.7151529,-73.9977058
1002010033,68 BAYARD STREET,C7,6.0000000,16,1915,40.7156936,-73.9980376
1001620013,24 MOTT STREET,C7,6.0000000,20,1915,40.7145051,-73.9985391
1001620014,26 MOTT STREET,C7,6.0000000,20,1910,40.7145710,-73.9985535
1001620017,32 MOTT STREET,C7,6.0000000,20,1910,40.7147686,-73.9985860
1002010030,62 BAYARD STREET,C7,6.0000000,15,1910,40.7155921,-73.9978573
1002010014,174 CANAL STREET,C7,6.0000000,25,1910,40.7164594,-73.9976083
1002010001,72 BAYARD STREET,C7,6.0000000,30,1910,40.7157293,-73.9982469
1001990005,87 BAXTER STREET,C7,6.0000000,15,1915,40.7167119,-73.9995383
1002000024,69 MOTT STREET,C7,6.0000000,27,1905,40.7163139,-73.9983659
1002000006,78 MULBERRY STREET,C7,6.0000000,33,1915,40.7163304,-73.9987699
1002000028,63 MOTT STREET,C7,6.0000000,19,1910,40.7161191,-73.9984885
1001620022,25 PELL STREET,C7,6.0000000,14,1915,40.7147824,-73.9983767
1001640022,81 BAYARD STREET,C7,6.0000000,10,1915,40.7155783,-73.9988745
1001640026,47 MOTT STREET,C7,6.0000000,21,1915,40.7153972,-73.9989106
1001990003,83 BAXTER STREET,C7,6.0000000,38,1915,40.7166186,-73.9995924
1001990024,77 MULBERRY STREET,C7,6.0000000,19,1915,40.7164045,-73.9993110
1001640003,34 MULBERRY STREET,C7,6.0000000,27,1915,40.7147192,-73.9994012
1001640016,60 MULBERRY STREET,C7,6.0000000,30,1915,40.7154795,-73.9992497
1004490006,128 2 AVENUE,C7,6.0000000,22,1920,40.7282584,-73.9874659
1004500028,348 EAST 9 STREET,C7,6.0000000,15,1900,40.7282253,-73.9855176
1004500011,312 EAST 9 STREET,C7,6.0000000,16,1910,40.7287360,-73.9866973
1004500012,314 EAST 9 STREET,C7,6.0000000,16,1910,40.7286948,-73.9866287
1004620015,32 EAST 7 STREET,C7,6.0000000,22,1900,40.7282092,-73.9892121
1004620016,34 EAST 7 STREET,C7,6.0000000,22,1900,40.7281763,-73.9891328
1004630028,131 2 AVENUE,C7,6.0000000,19,1900,40.7286071,-73.9880647
1004630030,129 2 AVENUE,C7,6.0000000,21,1900,40.7285248,-73.9881261
1004620017,36 EAST 7 STREET,C1,6.0000000,16,1900,40.7281433,-73.9890570
1004630021,24 ST MARKS PLACE,C7,6.0000000,16,1900,40.7287993,-73.9888188
1004630024,30 ST MARKS PLACE,C7,6.0000000,24,1900,40.7286950,-73.9885734
1004630031,127 2 AVENUE,C7,6.0000000,21,1900,40.7284616,-73.9881694
1004640034,141 2 AVENUE,C7,6.0000000,19,1900,40.7291807,-73.9875992
1004450028,124 EAST 4 STREET,C7,6.0000000,24,1910,40.7252557,-73.9877875
1004460009,302 EAST 5 STREET,C7,6.0000000,22,1920,40.7263784,-73.9885847
