healthcenterdistrict,bldgdepth,bct2020,zipcode,numbldgs,zmcode,spdist1,lottype,latitude,proxcode,xcoord,otherarea,splitzone,retailarea,healtharea,pfirm15_flag,yearbuilt,lotfront,sanitboro,cb2010,landuse,assessland,garagearea,cd,zoningdate,ltdheight,appbbl,sanborn,commfar,dcpedited,residfar,builtfar,bldgclass,bbl,yearalter2,irrlotcode,edesigdate,tract2010,council,schooldist,spdist2,easements,longitude,officearea,histdist,yearalter1,strgearea,rpaddate,lotarea,numfloors,version,ycoord,block,unitsres,lotdepth,landmkdate,facilfar,overlay1,spdist3,ownertype,zonedist4,bldgfront,sanitdistrict,exempttot,areasource,assesstot,firecomp,edesignum,lot,zonedist1,address,policeprct,ct2010,ext,borocode,notes,sanitsub,taxmap,polidate,ownername,appdate,zonemap,zonedist2,firm07_flag,condono,comarea,basempdate,plutomapid,zonedist3,overlay2,bctcb2020,factryarea,dcasdate,bldgarea,bsmtcode,unitstotal,resarea,borough,geom,masdate,landmark,geometry
15,28.0000000,1004500,10013,1,,SNX,6,40.7208291,0,984505,0,False,0,6800,,1900,51.1700000,1,1004,2,416250.00000,0,102,,,1004730030.00000000,101N/073,5.00000000000,,5.00000000000,4.11000000000,C6,1004730130,0,False,,45,1,2,,0,-73.9990801,0,SoHo-Cast Iron Historic District Extension,0,0,,2044,6.0000000,25v4,201894,473,6,39.9600000,,5.00000000000,,,,,50.0000000,2,0.00000,2,3435300.00000,E055,,130,M1-5/R7X,37B CROSBY STREET,5,45,N,1,,1A,10206,,35 1/2 CROSBY STREET REALTY CORP.,1998-12-31,12c,,,,0,,1,,,10045001004,0,,8400,2,6,8400,MN,,,,
15,88.0000000,1004500,10012,1,,SNX,5,40.7221109,2,984891,0,False,1220,6800,,1900,28.0000000,1,1001,4,135000.00000,0,102,,,,101N073,5.00000000000,,4.66000000000,3.25000000000,C7,1004820025,0,False,,45,1,2,,0,-73.9976875,0,,0,0,,2814,6.0000000,25v4,202361,482,10,100.5000000,,4.66000000000,,,,,28.0000000,2,0.00000,2,1648800.00000,E055,,25,M1-5/R7D,222 LAFAYETTE STREET,5,45,E,1,,1F,10206,,"CHIU, BIG YUK",,12c,,,,1220,,1,,,10045001001,0,,9140,2,12,7920,MN,,,,
15,46.0000000,1004500,10012,1,,SNX,5,40.7221328,3,984926,0,False,435,6800,,1900,24.5000000,1,1001,4,170550.00000,0,102,,,,101N073,5.00000000000,,4.66000000000,5.28000000000,C7,1004820024,2023,False,,45,1,2,,0,-73.9975612,0,,2014,0,,1233,6.0000000,25v4,202369,482,9,50.3300000,,4.66000000000,,,,,24.5000000,2,0.00000,2,1449450.00000,E055,,24,M1-5/R7D,224 LAFAYETTE STREET,5,45,N,1,,1F,10206,,"224 LAUGH, LLC",,12c,,,,435,,1,,,10045001001,0,,6510,0,10,6075,MN,,,,
14,86.0000000,1003200,10009,1,,,5,40.7235945,2,989070,0,False,800,6600,,1900,24.0000000,1,6001,4,235350.00000,0,103,,,,102 012,0.00000000000,,4.00000000000,4.78000000000,C7,1004000038,0,False,,32,2,1,,0,-73.9826107,0,,1986,0,,2400,6.0000000,25v4,202902,400,22,100.0000000,,4.00000000000,C1-5,,,,24.0000000,3,0.00000,2,2124900.00000,E028,,38,R7A,60 AVENUE B,9,32,N,1,,3A,10203,,60 AVENUE B LLC,,12c,,,,800,,1,,,10032006001,0,,11469,2,23,10669,MN,,,,
14,69.0000000,1003200,10009,1,,,5,40.7269844,3,988860,0,True,3250,6600,,1907,58.0000000,1,1000,4,450000.00000,0,103,,,,102 020,0.00000000000,,4.00000000000,4.18000000000,C7,1004360036,0,False,,32,2,1,,0,-73.9833675,0,,1988,0,,4669,6.0000000,25v4,204137,436,30,80.5000000,,4.00000000000,C1-5,,,,58.0000000,3,0.00000,2,3137850.00000,L011,,36,R7A,121 ST MARKS PLACE,9,32,N,1,,4A,10205,,"AVENUE A SCHNEIDER PARTNERS, LLC",,12c,R8B,,,3250,,1,,,10032001000,0,,19500,2,33,16250,MN,,,,
14,70.0000000,1003200,10009,1,,,3,40.7266605,3,988854,0,False,1727,6600,,1920,24.6700000,1,1001,4,178650.00000,0,103,,,,102 020,0.00000000000,,4.00000000000,5.81000000000,C7,1004350030,0,False,,32,2,1,,0,-73.9833893,0,,1987,0,,1727,6.0000000,25v4,204019,435,10,70.0000000,,4.00000000000,C1-5,,,,25.0000000,3,0.00000,2,1349100.00000,L011,,30,R7A,125 AVENUE A,9,32,N,1,,4A,10205,,132 ST. MARKS PLACELIMITED LIABILITY COM PANY,,12c,,,,1727,,1,,,10032001001,0,,10038,2,11,8311,MN,,,,
14,82.0000000,1003200,10009,1,,,5,40.7231417,3,988820,0,False,1900,6600,,1900,24.0000000,1,5000,4,197100.00000,0,103,,,,102 012,0.00000000000,,4.00000000000,4.09000000000,C7,1003990043,0,False,,32,2,1,,0,-73.9835128,0,,0,0,,2308,6.0000000,25v4,202737,399,16,96.1700000,,4.00000000000,,,,,24.0000000,3,0.00000,2,1121400.00000,E028,,43,R8B,189 EAST 3 STREET,9,32,N,1,,3A,10203,,189 EAST 3 LLC,,12c,,,,1900,,1,,,10032005000,0,,9448,2,18,7548,MN,,,,
14,83.0000000,1003200,10009,1,,,5,40.7233668,0,988879,0,False,0,6600,,1900,48.0000000,1,5000,2,207900.00000,0,103,,,,102 012,0.00000000000,,4.00000000000,4.05000000000,C1,1003990024,0,False,,32,2,1,,0,-73.9832999,0,,1993,0,,4616,6.0000000,25v4,202819,399,18,96.1700000,,4.00000000000,,,X,,48.0000000,3,1321200.00000,2,1321200.00000,E028,,24,R8B,230 EAST 4 STREET,9,32,N,1,,3A,10203,,"TWO BUILDINGS TENANTS UNITED HDFC, INC.",,12c,,,,0,,1,,,10032005000,0,,18690,0,18,18690,MN,,,,
14,82.0000000,1003200,10009,1,,,5,40.7233009,2,988921,0,False,2000,6600,,1900,48.0000000,1,5000,4,242550.00000,0,103,,,,102 012,0.00000000000,,4.00000000000,4.05000000000,C7,1003990026,0,False,,32,2,1,,0,-73.9831484,0,,0,0,,4616,6.0000000,25v4,202795,399,28,96.1700000,,4.00000000000,,,,,48.0000000,3,0.00000,2,2740950.00000,E028,,26,R8B,234 EAST 4 STREET,9,32,N,1,,3A,10203,,234  PROPERTIES LLC,,12c,,,,2000,,1,,,10032005000,0,,18690,2,30,16690,MN,,,,
14,80.0000000,1003200,10009,1,,,3,40.7232404,2,989011,0,False,1800,6600,,1900,48.0000000,1,5000,4,360000.00000,0,103,,,,102 012,0.00000000000,,4.00000000000,5.08000000000,C7,1003990030,0,False,,32,2,1,,0,-73.9828237,0,,1985,0,,3840,6.0000000,25v4,202773,399,26,80.0000000,,4.00000000000,C1-5,,,,48.0000000,3,0.00000,2,2425500.00000,E028,,30,R7A,50 AVENUE B,9,32,N,1,,3A,10203,,50 AVENUE B ASSOCIATES L.P.,,12c,,,,1800,,1,,,10032005000,0,,19512,2,30,17712,MN,,,,
