bbl,address,bldgclass,numfloors,yearbuilt,roof_area_m2_actual,canopy_area_m2,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,lon,lat
,,,,,128.37,109.12,21.82,27018.0,74.0,3.39,-73.9776587470642,40.72612367655442
,,,,,831.89,707.1,141.42,175079.0,479.7,3.39,-73.97475029094444,40.72693114211815
,,,,,202.73,172.32,34.46,42667.0,116.9,3.39,-73.97662682340734,40.72329051000801
,,,,,143.48,121.95,24.39,30196.0,82.7,3.39,-73.97754620233466,40.72630749533181
,,,,,697.5,592.88,118.58,146796.0,402.2,3.39,-73.97594148072744,40.72461847278338
,,,,,1277.9,1086.21,217.24,268946.0,736.8,3.39,-73.97656675911944,40.723506908780024
,,,,,97.14,82.57,16.51,20445.0,56.0,3.39,-73.9769565180971,40.72706349318172
,,,,,690.26,586.72,117.34,145272.0,398.0,3.39,-73.97515358045598,40.72133030574744
,,,,,164.14,139.52,27.9,34546.0,94.6,3.39,-73.97697486023789,40.72540725809915
,,,,,291.03,247.37,49.47,61250.0,167.8,3.39,-73.97793892118594,40.72150199186447
,,,,,179.14,152.27,30.45,37702.0,103.3,3.39,-73.97780962583515,40.72700227669513
,,,,,53.39,45.38,9.08,11236.0,30.8,3.39,-73.97693232764638,40.723140899318764
,,,,,276.09,234.68,46.94,58106.0,159.2,3.39,-73.977781947616,40.721715304624205
,,,,,872.49,741.62,148.32,183624.0,503.1,3.39,-73.97527467462726,40.72693092569309
,,,,,116.46,98.99,19.8,24511.0,67.2,3.39,-73.9778615102078,40.72272045309064
,,,,,241.09,204.93,40.99,50740.0,139.0,3.39,-73.97714765584222,40.72515276563129
,,,,,226.61,192.62,38.52,47693.0,130.7,3.39,-73.97791371935327,40.72703623337293
,,,,,191.84,163.06,32.61,40374.0,110.6,3.39,-73.97648210751923,40.724882969603385
,,,,,329.93,280.44,56.09,69437.0,190.2,3.39,-73.97549902646008,40.72484235575084
,,,,,98.36,83.6,16.72,20700.0,56.7,3.39,-73.9773063667734,40.72326507415374
,,,,,600.09,510.08,102.02,126295.0,346.0,3.39,-73.97570626724146,40.723351342669936
,,,,,271.47,230.75,46.15,57133.0,156.5,3.39,-73.97777046745756,40.722646677391594
,,,,,178.92,152.08,30.42,37655.0,103.2,3.39,-73.97795849836747,40.723492968893915
,,,,,166.02,141.11,28.22,34940.0,95.7,3.39,-73.97768944304151,40.72381508462252
,,,,,173.27,147.28,29.46,36466.0,99.9,3.39,-73.97772878245542,40.72697237735523
,,,,,139.64,118.69,23.74,29388.0,80.5,3.39,-73.97757441843787,40.72624229682324
,,,,,160.36,136.31,27.26,33749.0,92.5,3.39,-73.97723560160767,40.72554410716835
,,,,,134.36,114.21,22.84,28278.0,77.5,3.39,-73.97744224192958,40.72680193983578
,,,,,713.69,606.64,121.33,150203.0,411.5,3.39,-73.9775658387223,40.724881134093664
,,,,,258.42,219.66,43.93,54388.0,149.0,3.39,-73.9767389127976,40.725320147531114
,,,,,1372.01,1166.21,233.24,288754.0,791.1,3.39,-73.97646540072726,40.72201229172286
,,,,,107.26,91.17,18.23,22574.0,61.8,3.39,-73.97792181599668,40.72276350623618
,,,,,139.09,118.22,23.64,29272.0,80.2,3.39,-73.97750526784323,40.726365318133034
,,,,,305.4,259.59,51.92,64274.0,176.1,3.39,-73.9749603581121,40.726723827495576
,,,,,160.64,136.54,27.31,33808.0,92.6,3.39,-73.97701479156252,40.72352952736434
,,,,,189.54,161.11,32.22,39891.0,109.3,3.39,-73.97705978943833,40.72311657538342
,,,,,115.53,98.2,19.64,24314.0,66.6,3.39,-73.97723972116401,40.72359235422252
,,,,,709.23,602.85,120.57,149266.0,408.9,3.39,-73.97570009842279,40.72157680080907
,,,,,1200.93,1020.79,204.16,252748.0,692.5,3.39,-73.97588459200041,40.72494318281892
,,,,,191.24,162.55,32.51,40248.0,110.3,3.39,-73.97737842219071,40.722939485401994
,,,,,162.48,138.11,27.62,34195.0,93.7,3.39,-73.97740458160021,40.72326006546403
,,,,,723.89,615.31,123.06,152350.0,417.4,3.39,-73.97704729865616,40.721513779105344
,,,,,222.71,189.31,37.86,46872.0,128.4,3.39,-73.9768652216492,40.725387555767846
,,,,,142.04,120.74,24.15,29895.0,81.9,3.39,-73.97765676255251,40.722618407943905
,,,,,99.58,84.64,16.93,20957.0,57.4,3.39,-73.97741132796229,40.723635373121546
,,,,,698.05,593.35,118.67,146912.0,402.5,3.39,-73.97547959474299,40.71931930068452
,,,,,159.88,135.9,27.18,33648.0,92.2,3.39,-73.97716544100066,40.725499394153985
,,,,,143.79,122.22,24.44,30262.0,82.9,3.39,-73.97778103476212,40.724238182179526
,,,,,111.8,95.03,19.01,23530.0,64.5,3.39,-73.97760643783491,40.726856956985415
,,,,,138.61,117.81,23.56,29171.0,79.9,3.39,-73.97761745358926,40.72618176155773
,,,,,92.5,78.62,15.72,19467.0,53.3,3.39,-73.97766398959129,40.723422166339766
,,,,,3534.36,3004.21,600.84,743841.0,2037.9,3.39,-73.97736046650243,40.71988042720957
,,,,,108.73,92.42,18.48,22883.0,62.7,3.39,-73.97702524894717,40.72268329985518
,,,,,320.21,272.18,54.44,67392.0,184.6,3.39,-73.976487289432,40.72409361478882
,,,,,118.67,100.87,20.17,24976.0,68.4,3.39,-73.97696726860705,40.723471062731484
,,,,,168.09,142.87,28.57,35375.0,96.9,3.39,-73.9777809966537,40.72383034995002
,,,,,209.12,177.75,35.55,44011.0,120.6,3.39,-73.97593075122143,40.72430217447097
,,,,,709.89,603.41,120.68,149404.0,409.3,3.39,-73.97768145694698,40.72067038519527
,,,,,247.56,210.42,42.08,52101.0,142.7,3.39,-73.97566083735359,40.724719862838626
,,,,,129.59,110.16,22.03,27275.0,74.7,3.39,-73.97653211314466,40.725260513211104
,,,,,111.91,95.12,19.02,23552.0,64.5,3.39,-73.97764908029686,40.72735497199432
,,,,,64.96,55.22,11.04,13671.0,37.5,3.39,-73.97795954060024,40.72592208352422
,,,,,191.74,162.98,32.6,40353.0,110.6,3.39,-73.97724893324734,40.72319420305244
,,,,,278.7,236.89,47.38,58654.0,160.7,3.39,-73.97633923300475,40.72399639850039
,,,,,109.17,92.79,18.56,22975.0,62.9,3.39,-73.97768610234142,40.72689057094416
,,,,,218.02,185.32,37.06,45884.0,125.7,3.39,-73.9773566539266,40.7223050701953
,,,,,533.97,453.87,90.77,112378.0,307.9,3.39,-73.97693859373946,40.7250472256567
,,,,,230.14,195.62,39.12,48435.0,132.7,3.39,-73.9778563884357,40.723451129459605
,,,,,100.38,85.32,17.06,21125.0,57.9,3.39,-73.97786377289941,40.725809010939784
,,,,,204.26,173.62,34.72,42988.0,117.8,3.39,-73.97606091039228,40.72413348083447
,,,,,248.04,210.83,42.17,52202.0,143.0,3.39,-73.97781954243096,40.72507519963374
,,,,,70.11,59.59,11.92,14755.0,40.4,3.39,-73.97508274870201,40.726732567998404
,,,,,127.39,108.28,21.66,26811.0,73.5,3.39,-73.97717330595746,40.72356593156547
,,,,,101.48,86.26,17.25,21357.0,58.5,3.39,-73.97742536841608,40.726407206917074
,,,,,706.66,600.66,120.13,148723.0,407.5,3.39,-73.97588008679405,40.72009957858236
,,,,,86.83,73.8,14.76,18274.0,50.1,3.39,-73.97673865105304,40.72305679214628
,,,,,357.37,303.76,60.75,75212.0,206.1,3.39,-73.97610615661166,40.72404225990979
,,,,,725.52,616.69,123.34,152694.0,418.3,3.39,-73.97618164821505,40.722493473888775
,,,,,170.69,145.09,29.02,35924.0,98.4,3.39,-73.97773038943211,40.726081189238066
,,,,,372.17,316.35,63.27,78328.0,214.6,3.39,-73.97666509972089,40.72492926036109
,,,,,537.63,456.98,91.4,113149.0,310.0,3.39,-73.9776536726095,40.726512580915085
,,,,,107.09,91.03,18.21,22538.0,61.7,3.39,-73.97738773104555,40.72221610625694
,,,,,605.25,514.46,102.89,127380.0,349.0,3.39,-73.97728150480339,40.722449764144095
,,,,,719.25,611.36,122.27,151374.0,414.7,3.39,-73.97649042055578,40.72044369794771
,,,,,678.23,576.49,115.3,142739.0,391.1,3.39,-73.97623506432217,40.72569736153377
,,,,,346.33,294.38,58.88,72889.0,199.7,3.39,-73.97645524284113,40.72518025967355
,,,,,157.77,134.11,26.82,33205.0,91.0,3.39,-73.97662734162137,40.72375927767819
,,,,,623.27,529.78,105.96,131174.0,359.4,3.39,-73.97491335278272,40.722470135423364
,,,,,172.2,146.37,29.27,36242.0,99.3,3.39,-73.97745152361988,40.72216280516745
