bbl,address,bldgclass,numfloors,unitsres,yearbuilt,latitude,longitude
1004000038.00000000,60 AVENUE B,C7,6.0000000,22,1900,40.7235945,-73.9826107
1004360036.00000000,121 ST MARKS PLACE,C7,6.0000000,30,1907,40.7269844,-73.9833675
1004350030.00000000,125 AVENUE A,C7,6.0000000,10,1920,40.7266605,-73.9833893
1003990043.00000000,189 EAST 3 STREET,C7,6.0000000,16,1900,40.7231417,-73.9835128
1003990024.00000000,230 EAST 4 STREET,C1,6.0000000,18,1900,40.7233668,-73.9832999
1003990026.00000000,234 EAST 4 STREET,C7,6.0000000,28,1900,40.7233009,-73.9831484
1003990030.00000000,50 AVENUE B,C7,6.0000000,26,1900,40.7232404,-73.9828237
1003990033.00000000,46 AVENUE B,C7,6.0000000,21,1900,40.7231197,-73.9829139
1003990041.00000000,191 EAST 3 STREET,C7,6.0000000,12,1900,40.7230923,-73.9833974
1003990047.00000000,181 EAST 3 STREET,C7,6.0000000,32,1900,40.7232927,-73.9838663
1004000024.00000000,536 EAST 5 STREET,C7,6.0000000,22,1929,40.7240145,-73.9829462
1004000026.00000000,540 EAST 5 STREET,C7,6.0000000,22,1929,40.7239623,-73.9828199
1004000047.00000000,223 EAST 4 STREET,C6,6.0000000,19,1937,40.7237867,-73.9831555
1004010056.00000000,515 EAST 5 STREET,C4,6.0000000,24,1920,40.7247090,-73.9834727
1003990038.00000000,38 AVENUE B,C7,6.0000000,10,1900,40.7228562,-73.9831052
1004000039.00000000,235 EAST 4 STREET,C7,6.0000000,30,1920,40.7235039,-73.9826793
1004020039.00000000,102 AVENUE B,C6,6.0000000,5,1900,40.7248651,-73.9816219
1004000045.00000000,225 EAST 4 STREET,C6,6.0000000,21,1937,40.7237482,-73.9830581
1004000050.00000000,213 EAST 4 STREET,C7,6.0000000,28,1900,40.7238993,-73.9834188
1004000061.00000000,193 EAST 4 STREET,C7,6.0000000,11,1900,40.7242397,-73.9842232
1004010047.00000000,533 EAST 5 STREET,C4,6.0000000,24,1900,40.7244097,-73.9827621
1004010042.00000000,543 EAST 5 STREET,C7,6.0000000,22,1900,40.7242559,-73.9823941
1004360009.00000000,406 EAST 9 STREET,C7,6.0000000,22,1929,40.7278025,-73.9844533
1004360042.00000000,109 ST MARKS PLACE,C7,6.0000000,25,1920,40.7272205,-73.9838798
1004360034.00000000,131 AVENUE A,C7,6.0000000,30,1920,40.7269075,-73.9831835
1004350019.00000000,110 ST MARKS PLACE,C7,6.0000000,22,1920,40.7269351,-73.9843453
1004350025.00000000,122 ST MARKS PLACE,C7,6.0000000,22,1920,40.7267731,-73.9839304
1004350027.00000000,126 ST MARKS PLACE,C7,6.0000000,22,1920,40.7267209,-73.9838078
1004360037.00000000,119 ST MARKS PLACE,C7,6.0000000,22,1910,40.7270640,-73.9835082
1004360039.00000000,115 ST MARKS PLACE,C7,6.0000000,22,1900,40.7271134,-73.9836237
1004020032.00000000,178 EAST 7 STREET,C7,6.0000000,16,1900,40.7250381,-73.9816868
1004010030.00000000,540 EAST 6 STREET,C4,6.0000000,13,1920,40.7244892,-73.9822245
1004500028.00000000,348 EAST 9 STREET,C7,6.0000000,15,1900,40.7282253,-73.9855176
1004490021.00000000,64 ST MARKS PLACE,C4,6.0000000,26,1900,40.7278192,-73.9864341
1004500014.00000000,318 EAST 9 STREET,C7,6.0000000,16,1910,40.7286618,-73.9865494
1004500047.00000000,55 ST MARKS PLACE,C1,6.0000000,12,1900,40.7283379,-73.9864737
