name,bbl,shape_area,construction_year,ground_elevation,mappluto_bbl,objectid,feature_code,shape_length,height_roof,last_status_type,bin,last_edited_date,geom_source,doitt_id,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,canopy_area_m2,address,bldgclass,roof_area_m2_actual,numfloors,yearbuilt,lon,lat
,1006110024.0,120.02734375,1900,13,1002790029,463205,2100,44.011741394713482,54.61363816,Constructed,1077460,2017-08-22 18:52:27+00:00,Photogrammetric,848508,43.96945701927481,54434.18778986222,155.85621928917638,161.8076018309313,219.8472850963741,200 WAVERLY PLACE,C1,,6.0,1903.0,-73.99859903586754,40.712037736415006
,1006110045.0,121.0078125,1900,13,1002790029,884017,2100,44.13403306055757,54.87190067,Constructed,1077461,2017-08-22 18:43:02+00:00,Photogrammetric,606314,38.23304527533821,47332.51005086871,155.85621928917638,140.69760661324463,191.16522637669107,24 CHARLES STREET,C7,,6.0,1903.0,-73.99850878927327,40.71204724057155
,1006100030.0,118.46875,1900,13,1002790029,992072,2100,43.706609319113781,56.49526504,Constructed,1077462,2017-08-22 17:52:04+00:00,Photogrammetric,653459,21.690409968587485,26852.727541111308,155.85621928917638,79.82070868440195,108.4520498429374,39 CHRISTOPHER STREET,C7,,6.0,1908.0,-73.9984192962959,40.71205734871745
,1006110022.0,111.42578125,1900,14,1002790029,305097,2100,42.563467258322405,55.01563466,Constructed,1077463,2017-08-22 19:37:24+00:00,Photogrammetric,41225,33.59964607900684,41596.36184581047,155.85621928917638,123.64669757074518,167.9982303950342,28 CHARLES STREET,C7,,6.0,1910.0,-73.99833330574974,40.71206637187965
,1006100028.0,468.78125,1920,17,1002790002,751466,2100,105.04111687972133,60.66,Constructed,1003361,2017-08-22 17:58:12+00:00,Photogrammetric,394198,29.095163911021974,36019.8129218452,155.14308476095138,107.07020319256084,145.4758195551099,35 CHRISTOPHER STREET,C7,,6.0,1908.0,-73.99806450686988,40.71210797056584
,1003740041.0,540.54296875,1918,25,1002770002,721847,2100,127.86545366512722,66.79,Constructed,1003329,2017-08-22 18:26:34+00:00,Photogrammetric,829268,49.47449421795685,61249.42384183058,178.89302030192073,182.0661387220812,247.37247108978423,41 AVENUE D,C7,,6.0,1900.0,-73.99635230221526,40.712352145805156
,1003940052.0,327.4609375,1920,24,1002770054,700418,2100,101.53086912533483,66.71,Constructed,1003359,2017-08-22 17:54:34+00:00,Photogrammetric,181571,30.45371401189091,37701.69794672095,108.37660323000563,112.06966756375856,152.26857005945453,633 EAST 11 STREET,C6,,6.0,1937.0,-73.99675357323375,40.712363361028686
,1003790057.0,324.56640625,1910,25,1002770053,599226,2100,102.09188323964625,62.77,Constructed,1003358,2017-08-22 17:55:54+00:00,Photogrammetric,444178,40.98491700278905,50739.32724945284,107.4148278556517,150.82449457026368,204.92458501394523,713 EAST 9 STREET,C4,,6.0,1900.0,-73.99677692790576,40.712442578459964
,1003940053.0,381.82421875,1900,19,1002790022,995413,2100,117.04264866921808,66.73,Constructed,1003372,2017-08-22 17:26:53+00:00,Photogrammetric,156567,38.52384291525284,47692.51752908301,126.36302555207375,141.76774192813045,192.61921457626417,631 EAST 11 STREET,C4,,6.0,1910.0,-73.99859923197339,40.71253554324507
,1003750030.0,296.21875,1900,26,1002770049,631245,2100,77.257443638250692,64.65,Constructed,1003355,2017-08-22 18:11:02+00:00,Photogrammetric,684702,46.149463976148894,57133.03640247233,98.03426531773289,169.83002743222792,230.74731988074444,742 EAST 6 STREET,C6,,6.0,1902.0,-73.99689002917366,40.712654419342506
,1003760018.0,213.7578125,1900,28,1002760031,334308,2100,62.61981960915756,64.64,Constructed,1003309,2017-08-22 17:47:44+00:00,Photogrammetric,632359,30.41608875718404,37655.117881393846,70.74433931758672,111.93120662643726,152.0804437859202,250 EAST 7 STREET,C6,,6.0,1928.0,-73.99480043538074,40.7121205346042
,1003940050.0,267.3203125,1900,27,1002770010,349893,2100,104.98434264258384,61.9,Constructed,1003332,2017-08-22 17:35:12+00:00,Photogrammetric,780223,29.455442371189093,36465.8376555321,88.47076479740015,108.39602792597589,147.27721185594547,635 EAST 11 STREET,C4,,6.0,1900.0,-73.99567115928598,40.712410500988526
,1003790017.0,310.3359375,1910,30,1002770021,62888,2100,97.689872224615584,75,Constructed,1003339,2017-08-22 18:56:07+00:00,Other (Manual),466469,43.93208870351168,54387.925814947455,102.70709296138384,161.67008642892296,219.66044351755835,416 EAST 10 STREET,C6,,6.0,1900.0,-73.99465481155661,40.71247825072798
,1003760031.0,482.3984375,1910,31,1002770022,436144,2100,122.16687417636125,70.29,Constructed,1003340,2017-08-22 17:46:16+00:00,Photogrammetric,260329,32.22233997465237,39891.25688861964,159.64878925252154,118.57821110672072,161.11169987326184,276 EAST 7 STREET,C6,,6.0,1920.0,-73.99464205198224,40.71258393610055
,1003790015.0,293.51953125,1900,29,1002770036,790744,2100,97.749266880226813,69.58,Constructed,1003347,2017-08-22 18:31:10+00:00,Photogrammetric,48455,37.86105823933961,46871.99010030244,97.14402344909195,139.32869432076978,189.30529119669805,412 EAST 10 STREET,C6,,6.0,1930.0,-73.99570837116534,40.71272337466423
,1003760028.0,271.4453125,1920,30,1002770032,727337,2100,90.008199739053779,65.32,Constructed,1003344,2017-08-22 18:32:07+00:00,Photogrammetric,370970,32.59493855234242,40352.53392779992,89.83524608601155,119.9493738726201,162.97469276171208,272 EAST 7 STREET,C4,,6.0,1900.0,-73.99534206212317,40.71276267723512
,1003750039.0,294.328125,1920,30,1002770031,906010,2100,98.656356627389059,71.63,Constructed,1003343,2017-08-22 18:25:16+00:00,Photogrammetric,204205,37.06323195221211,45884.28115683859,97.40758167061554,136.39269358414057,185.31615976106053,67 AVENUE D,C7,,6.0,1910.0,-73.99525881081438,40.712767049442135
